cupsid,valuation,shares,filedFor,cik,ticker
02581610,"131,691","1,952,142",2013-03-31,922812.0,AXP
02581610,"1,162,025","17,225,400",2013-03-31,922812.0,AXP
02581610,"56,655","839,832",2013-03-31,922812.0,AXP
02581610,"131,082","1,943,100",2013-03-31,922812.0,AXP
02581610,"539,318","7,994,634",2013-03-31,922812.0,AXP
02581610,"8,112,462","120,255,879",2013-03-31,922812.0,AXP
02581610,"94,425","1,399,713",2013-03-31,922812.0,AXP
06405810,"225,076","8,041,300",2013-03-31,1390777.0,BK
06405810,"50,212","1,793,915",2013-03-31,1390777.0,BK
06405810,"241,027","8,611,200",2013-03-31,1390777.0,BK
06405810,"13,791","492,700",2013-03-31,1390777.0,BK
16725010,"299,161","4,817,400",2013-03-31,1027884.0,
16725010,"105,024","1,691,200",2013-03-31,1027884.0,
19121610,"32,352","800,000",2013-03-31,21344.0,KO
19121610,"3,246,653","80,283,200",2013-03-31,21344.0,KO
19121610,"73,763","1,824,000",2013-03-31,21344.0,KO
19121610,"582,789","14,411,200",2013-03-31,21344.0,KO
19121610,"739,178","18,278,400",2013-03-31,21344.0,KO
19121610,"11,318,800","279,891,200",2013-03-31,21344.0,KO
19121610,"143,643","3,552,000",2013-03-31,21344.0,KO
19121610,"38,822","960,000",2013-03-31,21344.0,KO
20825C10,"61,000","1,014,974",2013-03-31,78214.0,COP
20825C10,"120,158","1,999,300",2013-03-31,78214.0,COP
20825C10,"1,268,689","21,109,637",2013-03-31,78214.0,COP
22160K10,"459,813","4,333,363",2013-03-31,1393231.0,COST
23918K10,"1,064,216","8,973,906",2013-03-31,927066.0,TRL
23918K10,"711,540","6,000,000",2013-03-31,927066.0,TRL
24419910,"143,268","1,666,300",2013-03-31,315189.0,DE
24419910,"198,826","2,312,467",2013-03-31,315189.0,DE
25490A30,"807,868","14,275,800",2013-03-31,1465112.0,
02581610,"112,209","1,952,142",2012-12-31,922812.0,AXP
02581610,"990,116","17,225,400",2012-12-31,922812.0,AXP
02581610,"48,274","839,832",2012-12-31,922812.0,AXP
02581610,"111,689","1,943,100",2012-12-31,922812.0,AXP
02581610,"459,532","7,994,634",2012-12-31,922812.0,AXP
02581610,"6,912,308","120,255,879",2012-12-31,922812.0,AXP
02581610,"80,456","1,399,713",2012-12-31,922812.0,AXP
03948310,"163,151","5,956,600",2012-12-31,315032.0,ADM
06405810,"206,661","8,041,300",2012-12-31,1390777.0,BK
06405810,"46,104","1,793,915",2012-12-31,1390777.0,BK
06405810,"251,827","9,798,700",2012-12-31,1390777.0,BK
19121610,"29,000","800,000",2012-12-31,21344.0,KO
19121610,"2,910,266","80,283,200",2012-12-31,21344.0,KO
19121610,"66,120","1,824,000",2012-12-31,21344.0,KO
19121610,"522,406","14,411,200",2012-12-31,21344.0,KO
19121610,"662,592","18,278,400",2012-12-31,21344.0,KO
19121610,"10,146,056","279,891,200",2012-12-31,21344.0,KO
19121610,"128,760","3,552,000",2012-12-31,21344.0,KO
19121610,"34,800","960,000",2012-12-31,21344.0,KO
20825C10,"58,858","1,014,974",2012-12-31,78214.0,COP
20825C10,"115,939","1,999,300",2012-12-31,78214.0,COP
20825C10,"1,224,148","21,109,637",2012-12-31,78214.0,COP
22160K10,"427,833","4,333,363",2012-12-31,1393231.0,COST
23918K10,"840,905","7,607,935",2012-12-31,927066.0,TRL
23918K10,"663,180","6,000,000",2012-12-31,927066.0,TRL
24419910,"144,002","1,666,300",2012-12-31,315189.0,DE
24419910,"199,843","2,312,467",2012-12-31,315189.0,DE
25490A30,"553,661","11,037,900",2012-12-31,1465112.0,
25490A30,"1,153,660","22,999,600",2012-12-31,1465112.0,
36473010,"31,342","1,740,231",2012-12-31,39899.0,
36955010,"268,568","3,877,122",2012-12-31,750556.0,GD
02581610,"110,999","1,952,142",2012-09-30,922812.0,AXP
02581610,"979,436","17,225,400",2012-09-30,922812.0,AXP
02581610,"47,753","839,832",2012-09-30,922812.0,AXP
02581610,"110,485","1,943,100",2012-09-30,922812.0,AXP
02581610,"454,575","7,994,634",2012-09-30,922812.0,AXP
02581610,"6,837,749","120,255,879",2012-09-30,922812.0,AXP
02581610,"79,588","1,399,713",2012-09-30,922812.0,AXP
06405810,"181,894","8,041,300",2012-09-30,1390777.0,BK
06405810,"40,578","1,793,915",2012-09-30,1390777.0,BK
06405810,"221,647","9,798,700",2012-09-30,1390777.0,BK
19121610,"30,344","800,000",2012-09-30,21344.0,KO
19121610,"3,045,142","80,283,200",2012-09-30,21344.0,KO
19121610,"69,184","1,824,000",2012-09-30,21344.0,KO
19121610,"546,617","14,411,200",2012-09-30,21344.0,KO
19121610,"693,300","18,278,400",2012-09-30,21344.0,KO
19121610,"10,616,273","279,891,200",2012-09-30,21344.0,KO
19121610,"134,727","3,552,000",2012-09-30,21344.0,KO
19121610,"36,413","960,000",2012-09-30,21344.0,KO
20825C10,"58,036","1,014,974",2012-09-30,78214.0,COP
20825C10,"114,320","1,999,300",2012-09-30,78214.0,COP
20825C10,"1,207,049","21,109,637",2012-09-30,78214.0,COP
22160K10,"434,030","4,333,363",2012-09-30,1393231.0,COST
23918K10,"434,910","4,197,569",2012-09-30,927066.0,TRL
23918K10,"621,660","6,000,000",2012-09-30,927066.0,TRL
24419910,"137,420","1,666,300",2012-09-30,315189.0,DE
24419910,"190,709","2,312,467",2012-09-30,315189.0,DE
25490A30,"343,797","6,556,000",2012-09-30,1465112.0,
25490A30,"1,206,099","22,999,600",2012-09-30,1465112.0,
36473010,"30,889","1,740,231",2012-09-30,39899.0,
36955010,"256,355","3,877,122",2012-09-30,750556.0,GD
02581610,"113,634","1,952,142",2012-06-30,922812.0,AXP
02581610,"1,002,691","17,225,400",2012-06-30,922812.0,AXP
02581610,"48,887","839,832",2012-06-30,922812.0,AXP
02581610,"113,108","1,943,100",2012-06-30,922812.0,AXP
02581610,"465,368","7,994,634",2012-06-30,922812.0,AXP
02581610,"7,000,095","120,255,879",2012-06-30,922812.0,AXP
02581610,"81,477","1,399,713",2012-06-30,922812.0,AXP
06405810,"176,507","8,041,300",2012-06-30,1390777.0,BK
06405810,"39,376","1,793,915",2012-06-30,1390777.0,BK
06405810,"195,010","8,884,300",2012-06-30,1390777.0,BK
12665010,"247,759","5,301,916",2012-06-30,64803.0,CVS
19121610,"31,276","400,000",2012-06-30,21344.0,KO
19121610,"3,138,672","40,141,600",2012-06-30,21344.0,KO
19121610,"71,309","912,000",2012-06-30,21344.0,KO
19121610,"563,406","7,205,600",2012-06-30,21344.0,KO
19121610,"714,594","9,139,200",2012-06-30,21344.0,KO
19121610,"10,942,346","139,945,600",2012-06-30,21344.0,KO
19121610,"138,865","1,776,000",2012-06-30,21344.0,KO
19121610,"37,531","480,000",2012-06-30,21344.0,KO
20825C10,"321,852","5,759,700",2012-06-30,78214.0,COP
20825C10,"111,721","1,999,300",2012-06-30,78214.0,COP
20825C10,"1,179,607","21,109,637",2012-06-30,78214.0,COP
22160K10,"411,669","4,333,363",2012-06-30,1393231.0,COST
23918K10,"324,093","3,300,000",2012-06-30,927066.0,TRL
23918K10,"589,260","6,000,000",2012-06-30,927066.0,TRL
25490A10,"264,658","5,421,100",2012-06-30,1465112.0,
25490A10,"1,122,840","22,999,600",2012-06-30,1465112.0,
25667710,"180,623","3,320,885",2012-06-30,29534.0,DG
36473010,"25,634","1,740,231",2012-06-30,39899.0,
36955010,"255,735","3,877,122",2012-06-30,750556.0,GD
52376810,"2,119","1,655,125 S",2012-03-31,58361.0,LEE
02581610,"112,951","1,952,142",2012-03-31,922812.0,AXP
02581610,"996,662","17,225,400",2012-03-31,922812.0,AXP
02581610,"48,593","839,832",2012-03-31,922812.0,AXP
02581610,"112,428","1,943,100",2012-03-31,922812.0,AXP
02581610,"462,570","7,994,634",2012-03-31,922812.0,AXP
02581610,"6,958,005","120,255,879",2012-03-31,922812.0,AXP
02581610,"80,987","1,399,713",2012-03-31,922812.0,AXP
06405810,"43,287","1,793,915",2012-03-31,1390777.0,BK
06405810,"92,021","3,813,551",2012-03-31,1390777.0,BK
12665010,"318,371","7,106,500",2012-03-31,64803.0,CVS
19121610,"29,604","400,000",2012-03-31,21344.0,KO
19121610,"2,970,880","40,141,600",2012-03-31,21344.0,KO
19121610,"67,497","912,000",2012-03-31,21344.0,KO
19121610,"533,286","7,205,600",2012-03-31,21344.0,KO
19121610,"676,392","9,139,200",2012-03-31,21344.0,KO
19121610,"10,357,374","139,945,600",2012-03-31,21344.0,KO
19121610,"131,442","1,776,000",2012-03-31,21344.0,KO
19121610,"35,525","480,000",2012-03-31,21344.0,KO
20825C10,"455,452","5,992,000",2012-03-31,78214.0,COP
