2,3,4,filedFor
25490A30,"1,301,547","22,999,600",2013-03-31
36473010,"38,059","1,740,231",2013-03-31
36960410,"13,615","588,900",2013-03-31
37045V10,"417,300","15,000,000",2013-03-31
37045V10,"278,200","10,000,000",2013-03-31
37733W10,"70,858","1,510,500",2013-03-31
45920010,"18,020","84,480",2013-03-31
45920010,"127,466","597,588",2013-03-31
45920010,"101,275","474,800",2013-03-31
45920010,"14,283,659","66,965,116",2013-03-31
47816010,"26,668","327,100",2013-03-31
50076Q10,"9,928","192,666",2013-03-31
50076Q10,"72,626","1,409,395",2013-03-31
52376810,113,"88,863",2013-03-31
53122910,"292,732","2,622,340",2013-03-31
53122910,"334,890","3,000,000",2013-03-31
55261F10,"56,325","546,000",2013-03-31
55261F10,"17,000","164,795",2013-03-31
55261F10,"481,886","4,671,245",2013-03-31
57636Q10,"219,158","405,000",2013-03-31
58440410,"27,599","4,646,220",2013-03-31
60920710,"17,695","578,000",2013-03-31
60920710,"198,224","6,474,750",2013-03-31
61536910,"838,158","15,719,400",2013-03-31
61536910,"676,943","12,695,850",2013-03-31
63707110,"298,317","4,216,500",2013-03-31
63707110,"231,197","3,267,800",2013-03-31
71854610,"454,511","6,495,800",2013-03-31
71854610,"637,682","9,113,650",2013-03-31
71854610,"69,946","999,650",2013-03-31
71854610,"738,521","10,554,818",2013-03-31
74018910,"224,649","1,184,735",2013-03-31
74018910,"150,293","792,601",2013-03-31
74271810,"24,305","315,400",2013-03-31
74271810,"1,562,777","20,280,000",2013-03-31
74271810,"120,214","1,560,000",2013-03-31
74271810,"480,854","6,240,000",2013-03-31
74271810,"480,854","6,240,000",2013-03-31
74271810,"1,339,124","17,377,678",2013-03-31
74271810,"60,107","780,000",2013-03-31
80105N10,"24,953","488,500",2013-03-31
80105N10,"26,038","509,742",2013-03-31
80105N10,"8,648","169,300",2013-03-31
80105N10,"147,934","2,896,133",2013-03-31
85571Q10,"58,085","2,622,340",2013-03-31
85571Q10,"66,450","3,000,000",2013-03-31
89102710,"6,956","116,326",2013-03-31
89102710,"40,341","674,592",2013-03-31
89102710,"57,381","959,550",2013-03-31
89102710,"148,624","2,485,350",2013-03-31
90297330,"20,028","590,275",2013-03-31
90297330,"790,817","23,307,300",2013-03-31
90297330,"430,209","12,679,300",2013-03-31
90297330,"73,764","2,174,000",2013-03-31
90297330,"711,248","20,962,226",2013-03-31
90297330,"59,208","1,745,000",2013-03-31
90329340,"451,389","17,072,192",2013-03-31
91131210,"5,102","59,400",2013-03-31
92343E10,"202,750","4,289,200",2013-03-31
