02581610,AXP,AMERICAN EXPRESS CO,Common Stock
03076C10,A4S,AMERIPRISE FINANCIAL INC,Common Stock
03948310,ADM,ARCHER-DANIELS-MIDLAND CO,Common Stock
05301510,ADP,AUTOMATIC DATA PROCESSING,Common Stock
06050510,BAC,BANK OF AMERICA CORP,Common Stock
06405810,BK,BANK OF NEW YORK MELLON CORP,Common Stock
07588710,BDX,BECTON DICKINSON AND CO,Common Stock
08651610,BBY,BEST BUY CO INC,Common Stock
09367110,HRB,H&R BLOCK INC,Common Stock
12665010,CVS,CVS HEALTH CORP,Common Stock
14313010,KMX,CARMAX INC,Common Stock
19121610,KO,COCA-COLA CO/THE,Common Stock
20825C10,COP,CONOCOPHILLIPS,Common Stock
22160K10,COST,COSTCO WHOLESALE CORP,Common Stock
23918K10,TRL,DAVITA INC,Common Stock
24419910,DE,DEERE & CO,Common Stock
25468710,DIS,WALT DISNEY CO/THE,Common Stock
25667710,DG,DOLLAR GENERAL CORP,Common Stock
26000310,DOV,DOVER CORP,Common Stock
28102010,EIX,EDISON INTERNATIONAL,Common Stock
30231G10,XOM,EXXON MOBIL CORP,Common Stock
31340030,FMCC,FREDDIE MAC,Common Stock
31358610,FNMA,FANNIE MAE,Common Stock
33773810,FI,FISERV INC,Common Stock
33793210,FE,FIRSTENERGY CORP,Common Stock
36144810,GATX,GATX CORP,Common Stock
36476010,GAP,GAP INC/THE,Common Stock
36955010,GD,GENERAL DYNAMICS CORP,Common Stock
36960410,GE,GENERAL ELECTRIC,Common Stock
43707610,HD,HOME DEPOT INC,Common Stock
43851610,HON,HONEYWELL INTERNATIONAL INC,Common Stock
45814010,INTC,INTEL CORP,Common Stock
45920010,IBM,INTL BUSINESS MACHINES CORP,Common Stock
47816010,JNJ,JOHNSON & JOHNSON,Common Stock
49326710,KEY,KEYCORP,Common Stock
50533610,LZB,LA-Z-BOY INC,Common Stock
52376810,LEE,LEE ENTERPRISES,Common Stock
52977110,LXKEUR,LEXMARK INTERNATIONAL INC-A,Common Stock
54866110,LOW,LOWE'S COS INC,Common Stock
55261F10,MTB,M & T BANK CORP,Common Stock
56418H10,MAN,MANPOWERGROUP INC,Common Stock
57636Q10,MA,MASTERCARD INC - A,Common Stock
59491820,MSFT 2.75 12/15/99 +A,MICROSOFT CORP,PUBLIC
61536910,DUT,MOODY'S CORP,Common Stock
62475610,MLI,MUELLER INDUSTRIES INC,Common Stock
62937750,NRA,NRG ENERGY INC,Common Stock
64106940,NSRGY,NESTLE SA-SPONS ADR,ADR
65410610,NKE,NIKE INC -CL B,Common Stock
65584410,NSC,NORFOLK SOUTHERN CORP,Common Stock
67622010,ODPEUR,OFFICE DEPOT INC,Common Stock
68191910,OMC,OMNICOM GROUP,Common Stock
69347510,PNC,PNC FINANCIAL SERVICES GROUP,Common Stock
69371810,PCAR,PACCAR INC,Common Stock
71646E10,PC6A,PETROCHINA CO LTD -ADR,ADR
74271810,PG,PROCTER & GAMBLE CO/THE,Common Stock
76075910,RSG,REPUBLIC SERVICES INC,Common Stock
77032310,RHI,ROBERT HALF INC,Common Stock
77829610,ROST,ROSS STORES INC,Common Stock
80105N10,SNY,SANOFI-ADR,ADR
81211K10,SEE,SEALED AIR CORP,Common Stock
81211K20,SEE 2 04/01/18 A,SEALED AIR CORP (NEW),PUBLIC
82028K20,SJR/BEUR,SHAW COMMUNICATIONS INC-B,Common Stock
86816810,SUP,SUPERIOR INDUSTRIES INTL,Common Stock
87612E10,DYH,TARGET CORP,Common Stock
89102710,GL,GLOBE LIFE INC,Common Stock
89417E10,TRV,TRAVELERS COS INC/THE,Common Stock
90297330,USB,US BANCORP,Common Stock
90781810,UNP,UNION PACIFIC CORP,Common Stock
91131210,UPS,UNITED PARCEL SERVICE-CL B,Common Stock
91324P10,UNH,UNITEDHEALTH GROUP INC,Common Stock
92345Y10,VRSK,VERISK ANALYTICS INC,Common Stock
92553P20,VIAB,VIACOM INC-CLASS B,Common Stock
92826C83,V,VISA INC-CLASS A SHARES,Common Stock
92927K10,WBC1EUR,WABCO HOLDINGS INC,Common Stock
93005910,WDR,WADDELL & REED FINANCIAL-A,Common Stock
93114210,WMT,WALMART INC,Common Stock
94974610,WFC,WELLS FARGO & CO,Common Stock
95980210,W3U,WESTERN UNION CO,Common Stock
02581610,AXP,AMERICAN EXPRESS CO,Common Stock
03076C10,A4S,AMERIPRISE FINANCIAL INC,Common Stock
03948310,ADM,ARCHER-DANIELS-MIDLAND CO,Common Stock
05301510,ADP,AUTOMATIC DATA PROCESSING,Common Stock
06050510,BAC,BANK OF AMERICA CORP,Common Stock
06405810,BK,BANK OF NEW YORK MELLON CORP,Common Stock
07588710,BDX,BECTON DICKINSON AND CO,Common Stock
08651610,BBY,BEST BUY CO INC,Common Stock
09367110,HRB,H&R BLOCK INC,Common Stock
12665010,CVS,CVS HEALTH CORP,Common Stock
14313010,KMX,CARMAX INC,Common Stock
19121610,KO,COCA-COLA CO/THE,Common Stock
20825C10,COP,CONOCOPHILLIPS,Common Stock
22160K10,COST,COSTCO WHOLESALE CORP,Common Stock
23918K10,TRL,DAVITA INC,Common Stock
24419910,DE,DEERE & CO,Common Stock
25468710,DIS,WALT DISNEY CO/THE,Common Stock
25667710,DG,DOLLAR GENERAL CORP,Common Stock
26000310,DOV,DOVER CORP,Common Stock
28102010,EIX,EDISON INTERNATIONAL,Common Stock
30231G10,XOM,EXXON MOBIL CORP,Common Stock
31340030,FMCC,FREDDIE MAC,Common Stock
